CAUGHT    | M1 the leakage boundary is not checked before the runner | tests/runtimes/test_computer_ariadne.py::test_the_lexical_boundary_check_precedes_the_registry_read | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.43s
CAUGHT    | M2 mandatory ignored roots pass | tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments0-mandatory ignored root]; tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments1-mandatory ignored root] | 2 failed, 151 passed, 2 skipped, 1 warning, 12 subtests passed in 4.45s
CAUGHT    | M3 '..' and absolute prefixes pass | tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments4-repository-relative] | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.49s
CAUGHT    | M4 before == after is not refused | tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments17-different value] | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.57s
CAUGHT    | M5 timeout unbounded | tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments18-timeout_s]; tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments19-timeout_s]; tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments20-timeout_s] | 3 failed, 150 passed, 2 skipped, 1 warning, 12 subtests passed in 4.58s
CAUGHT    | M6 the HEAD shape is not checked | tests/runtimes/test_computer_ariadne.py::test_an_unregistered_project_and_an_unreadable_head_refuse_before_the_runner | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.55s
CAUGHT    | M7 the raw receipt reaches the planner | tests/runtimes/test_computer_ariadne.py::test_a_failing_evidence_check_reads_as_unverified_never_as_a_refusal; tests/runtimes/test_computer_ariadne.py::test_a_failing_gate_call_in_the_projection_withholds_the_target; tests/runtimes/test_computer_ariadne.py::test_a_large_integer_in_the_receipt_is_described_not_rendered; tests/runtimes/test_computer_ariadne.py::test_a_receipt_about_another_campaign_does_not_verify_the_postcondition; tests/runtimes/test_computer_ariadne.py::test_an_unreadable_receipt_shape_is_classified_not_crashed; tests/runtimes/test_computer_ariadne.py::test_every_projected_value_is_bounded_not_only_every_list | 14 failed, 139 passed, 2 skipped, 1 warning, 12 subtests passed in 4.60s
CAUGHT    | M8 a pre-run refusal claims an uncertain effect | tests/runtimes/test_computer_ariadne.py::test_a_junction_inside_the_subject_cannot_reach_the_leakage_boundary; tests/runtimes/test_computer_ariadne.py::test_a_missing_or_non_regular_target_is_refused_before_the_runner; tests/runtimes/test_computer_ariadne.py::test_an_unregistered_project_and_an_unreadable_head_refuse_before_the_runner; tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments0-mandatory ignored root]; tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments1-mandatory ignored root]; tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments10-repository-relative] | 41 failed, 112 passed, 2 skipped, 1 warning, 12 subtests passed in 5.08s
CAUGHT    | M9 a runner failure is swallowed | tests/runtimes/test_computer_ariadne.py::test_a_linked_worktree_subject_is_refused_by_the_campaign_verbatim; tests/runtimes/test_computer_ariadne.py::test_a_runner_failure_is_surfaced_with_its_class_and_marked_uncertain; tests/runtimes/test_computer_ariadne.py::test_failure_texts_keep_the_class_and_drop_a_message_that_names_a_host_path; tests/runtimes/test_computer_ariadne.py::test_the_service_keeps_the_lease_started_after_a_runner_failure_and_settles_a_pre_run_refusal | 4 failed, 149 passed, 2 skipped, 1 warning, 12 subtests passed in 4.68s
CAUGHT    | M10 the target echo is not gated | tests/runtimes/test_computer_ariadne.py::test_a_failing_gate_call_in_the_projection_withholds_the_target; tests/runtimes/test_computer_ariadne.py::test_nothing_after_the_runner_can_raise_a_pre_run_refusal; tests/runtimes/test_computer_ariadne.py::test_the_target_path_is_withheld_on_the_untrusted_lane_when_the_gate_refuses_it | 3 failed, 150 passed, 2 skipped, 1 warning, 12 subtests passed in 4.65s
CAUGHT    | M11 the projection forgets it never applies | tests/runtimes/test_computer_ariadne.py::test_the_projection_carries_verdicts_and_hashes_but_no_locator_path_or_after_text; tests/runtimes/test_computer_ariadne.py::test_the_real_campaign_through_the_real_lease_nominates_and_leaves_the_subject_untouched | 2 failed, 151 passed, 2 skipped, 1 warning, 12 subtests passed in 4.62s
